canonical,recipe_slots,recipe
intra_state_vwap,3,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares"", ""target"": ""return_decimal""}"
intra_supply_absorption_score,3,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares"", ""amount"": ""amount_local""}"
intra_tail_event_count,1,"{""close"": ""continuous_close""}"
intra_tail_volume_share,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intra_time_above_vwap,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_tripower_quarticity,1,"{""close"": ""continuous_close""}"
intra_up_down_semibeta,1,"{""close"": ""continuous_close""}"
intra_up_up_semibeta,1,"{""close"": ""continuous_close""}"
intra_ute_high,1,"{""close"": ""continuous_close""}"
intra_ute_low,1,"{""close"": ""continuous_close""}"
intra_volume_at_price_profile,2,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intra_volume_price_alignment,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intra_volume_profile_cosine,1,"{""x"": ""continuous_close""}"
intra_volume_profile_jsd,1,"{""x"": ""continuous_close""}"
intra_volume_profile_peak_geometry,2,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intra_volume_profile_supply_structure,2,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intra_volume_profile_value_area,2,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intra_vwap_above_ratio,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_vwap_cross_count,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_vwap_path_curvature,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_vwap_path_curvature_pct,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_vwap_path_slope,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_vwap_path_slope_pct,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_vwap_reversion_speed,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intraday_activity_duration_curvature,1,"{""activity"": ""continuous_close""}"
intraday_barrier_approach_acceleration,1,"{""close"": ""continuous_close""}"
intraday_bvc_imbalance,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intraday_impact_asymmetry,1,"{""returns"": ""return_decimal""}"
intraday_impact_beta,1,"{""returns"": ""return_decimal""}"
intraday_impact_decay_rate,2,"{""ret"": ""return_decimal"", ""amount"": ""amount_local""}"
intraday_jump_test_stat,1,"{""returns"": ""return_decimal""}"
intraday_medrv,1,"{""returns"": ""return_decimal""}"
intraday_minrv,1,"{""returns"": ""return_decimal""}"
intraday_profile_pca_residual,1,"{""x"": ""continuous_close""}"
intraday_profile_phase_shift,1,"{""x"": ""continuous_close""}"
intraday_profile_surprise_energy,1,"{""x"": ""continuous_close""}"
intraday_quantile_curve_pca_residual,1,"{""returns"": ""return_decimal""}"
intraday_quantile_curve_pca_score,1,"{""returns"": ""return_decimal""}"
intraday_realized_power_variation,1,"{""returns"": ""return_decimal""}"
intraday_realized_semivariance_balance,1,"{""returns"": ""return_decimal""}"
intraday_return_wasserstein_shift,1,"{""returns"": ""return_decimal""}"
intraday_rv_signature_curvature,1,"{""returns"": ""return_decimal""}"
intraday_rv_signature_slope,1,"{""close"": ""continuous_close""}"
intraday_session_shape_novelty,1,"{""x"": ""continuous_close""}"
intraday_subsampled_rv_dispersion,1,"{""returns"": ""return_decimal""}"
intraday_volatility,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
intraday_volatility_concentration,1,"{""returns"": ""return_decimal""}"
intraday_volatility_entropy,1,"{""returns"": ""return_decimal""}"
intraday_volatility_signature_slope,1,"{""returns"": ""return_decimal""}"
intraday_volatility_time_centroid,1,"{""returns"": ""return_decimal""}"
intraday_volume_clock_path_efficiency,1,"{""price"": ""continuous_close""}"
intraday_volume_clock_roughness,1,"{""price"": ""continuous_close""}"
intraday_vwap_deviation,3,"{""close"": ""continuous_close"", ""price"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intraday_wasserstein_pair_distance,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
inverse,1,"{""x"": ""continuous_close""}"
is_finite,1,"{""x"": ""continuous_close""}"
is_infinite,1,"{""x"": ""continuous_close""}"
is_nan,1,"{""x"": ""continuous_close""}"
is_not_null,1,"{""x"": ""continuous_close""}"
is_null,1,"{""x"": ""continuous_close""}"
kama_distance_pct,1,"{""close"": ""continuous_close""}"
keltner_breakout_strength,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
keltner_compression,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
keltner_width_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
le,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
lerp,2,"{""a"": ""continuous_close"", ""b"": ""continuous_close""}"
limit_down_close,1,"{""close"": ""continuous_close""}"
limit_up_close,1,"{""close"": ""continuous_close""}"
listing_age,1,"{""listing_date"": ""continuous_close""}"
log,1,"{""x"": ""continuous_close""}"
log10,1,"{""x"": ""continuous_close""}"
log2,1,"{""x"": ""continuous_close""}"
log_abs,1,"{""x"": ""continuous_close""}"
log_positive_or_nan,1,"{""x"": ""continuous_close""}"
lqtp_historical_cvar,1,"{""x"": ""continuous_close""}"
lt,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ma_slope_pct,1,"{""close"": ""continuous_close""}"
market_cap_free_cap_gap,1,"{""market_cap"": ""market_cap""}"
maximum,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
micro_bvc_vpin,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
minimum,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
multi_index_entry_intensity,1,"{""entry_index_a"": ""continuous_close""}"
multiply,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ne,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
neg,1,"{""x"": ""continuous_close""}"
negative_event_age,1,"{""event"": ""event_mask""}"
negative_event_rate,1,"{""event"": ""event_mask""}"
nonfinite_to_num,1,"{""x"": ""continuous_close""}"
normalize,1,"{""x"": ""continuous_close""}"
not_,1,"{""x"": ""continuous_close""}"
ohlc_corwin_schultz_spread,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
open_close_return,1,"{""close"": ""continuous_close""}"
open_to_vwap_return,1,"{""vwap"": ""continuous_vwap""}"
or_,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
overnight_return,1,"{""open_px"": ""continuous_close""}"
overnight_volatility,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
panel_async_beta_ex_self,1,"{""ret"": ""return_decimal""}"
panel_factor_pocket_strength,2,"{""ret"": ""return_decimal"", ""factor"": ""continuous_close""}"
panel_mixture_of_experts_score,1,"{""y"": ""return_decimal""}"
panel_peer_graph_aggregate,1,"{""x"": ""continuous_close""}"
panel_predictability_mosaic_score,1,"{""base_signal"": ""continuous_close""}"
panel_regime_conditioned_forecast,1,"{""y"": ""return_decimal""}"
panel_rolling_elastic_net_forecast,1,"{""y"": ""return_decimal""}"
panel_rolling_pca_explained_ratio,1,"{""ret"": ""return_decimal""}"
panel_rolling_pca_loading,1,"{""ret"": ""return_decimal""}"
panel_rolling_pca_resid,1,"{""ret"": ""return_decimal""}"
panel_rolling_pca_resid_momentum,1,"{""ret"": ""return_decimal""}"
panel_rolling_pca_resid_vol,1,"{""ret"": ""return_decimal""}"
panel_rolling_pcr_forecast,1,"{""y"": ""return_decimal""}"
panel_rolling_pls_forecast,1,"{""y"": ""return_decimal""}"
parkinson_vol,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_123_bear,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_123_bull,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_ascending_triangle,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_bear_flag,4,"{""close"": ""continuous_close"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""volume"": ""raw_volume_shares""}"
pattern_bear_pennant,4,"{""close"": ""continuous_close"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""volume"": ""raw_volume_shares""}"
pattern_breakdown_retest,1,"{""close"": ""continuous_close""}"
pattern_breakout_retest,1,"{""close"": ""continuous_close""}"
pattern_broadening,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_bull_flag,4,"{""close"": ""continuous_close"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""volume"": ""raw_volume_shares""}"
pattern_bull_pennant,4,"{""close"": ""continuous_close"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""volume"": ""raw_volume_shares""}"
pattern_cup,1,"{""close"": ""continuous_close""}"
pattern_cup_handle,3,"{""close"": ""continuous_close"", ""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_descending_triangle,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_double_bottom,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_double_top,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_falling_channel,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_falling_wedge,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_head_shoulders,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_inverse_head_shoulders,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_rectangle,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_rising_channel,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_rising_wedge,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_rounding_bottom,1,"{""close"": ""continuous_close""}"
pattern_rounding_top,1,"{""close"": ""continuous_close""}"
pattern_sym_triangle,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_triple_bottom,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
pattern_triple_top,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
period_average,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
period_cagr,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
period_change,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
period_lag,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
period_stability,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
piotroski_f_score,3,"{""ocf"": ""operating_cash_flow"", ""net_profit"": ""net_profit"", ""period_id"": ""period_id""}"
piotroski_f_score_tolerant,3,"{""ocf"": ""operating_cash_flow"", ""net_profit"": ""net_profit"", ""period_id"": ""period_id""}"
piotroski_observed_count,3,"{""ocf"": ""operating_cash_flow"", ""net_profit"": ""net_profit"", ""period_id"": ""period_id""}"
piotroski_partial_score,3,"{""ocf"": ""operating_cash_flow"", ""net_profit"": ""net_profit"", ""period_id"": ""period_id""}"
positive_event_age,1,"{""event"": ""event_mask""}"
positive_event_rate,1,"{""event"": ""event_mask""}"
power,1,"{""x"": ""continuous_close""}"
price_impact,1,"{""ret"": ""return_decimal""}"
price_spread_deviation,1,"{""x"": ""continuous_close""}"
price_turnover_divergence,2,"{""close"": ""continuous_close"", ""turnover"": ""turnover""}"
price_volume_divergence,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
protected_div,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
psar_days_since_flip,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
psar_direction,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
psar_distance_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
psar_flip,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
quarter_from_cumulative,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
range_volatility,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
rank,1,"{""x"": ""continuous_close""}"
rank_corr,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
real_turnover_rate,1,"{""volume"": ""raw_volume_shares""}"
reg_forecast_error_pct,1,"{""close"": ""continuous_close""}"
reg_r2_trailing,1,"{""close"": ""continuous_close""}"
reg_residual_zscore,1,"{""close"": ""continuous_close""}"
reg_slope_tstat,1,"{""close"": ""continuous_close""}"
relation_category_share,1,"{""value"": ""continuous_close""}"
relation_category_signed_contribution,1,"{""value"": ""continuous_close""}"
relation_concentration_acceleration,1,"{""hhi"": ""continuous_close""}"
relation_diffusion_score,1,"{""x"": ""continuous_close""}"
relation_distinct_count,1,"{""entity_ids"": ""continuous_close""}"
relation_distribution_excess_kurtosis,1,"{""relations"": ""continuous_close""}"
relation_distribution_pearson_kurtosis,1,"{""relations"": ""continuous_close""}"
relation_distribution_skew,1,"{""relations"": ""continuous_close""}"
relation_entropy,1,"{""s1"": ""continuous_close""}"
relation_entropy_change,1,"{""entropy"": ""continuous_close""}"
relation_entry_count,1,"{""member"": ""continuous_close""}"
relation_exit_count,1,"{""member"": ""continuous_close""}"
relation_hhi,1,"{""s1"": ""continuous_close""}"
relation_hhi_change,1,"{""hhi"": ""continuous_close""}"
relation_jaccard,1,"{""entity_id"": ""continuous_close""}"
relation_overlap_ratio,1,"{""current_ids"": ""continuous_close""}"
relation_peer_weighted_mean_ex_self,1,"{""value"": ""continuous_close""}"
relation_rank_entity_mobility,1,"{""s1"": ""continuous_close""}"
relation_rank_mobility,1,"{""rank1"": ""continuous_close""}"
relation_rank_weighted_sum,1,"{""s1"": ""continuous_close""}"
relation_share_mobility,1,"{""s1"": ""continuous_close""}"
relation_topk_concentration,1,"{""s1"": ""continuous_close""}"
relation_topk_sum,1,"{""s1"": ""continuous_close""}"
relation_weighted_change,1,"{""value"": ""continuous_close""}"
relation_weighted_std_ex_self,1,"{""x"": ""continuous_close""}"
relative_strength_group_pct,1,"{""ret"": ""return_decimal""}"
relative_volume,1,"{""volume"": ""raw_volume_shares""}"
report_benford_js_divergence,1,"{""amount"": ""amount_local""}"
report_change_breadth,5,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover"", ""period_id"": ""period_id"", ""eps"": ""earnings_per_share""}"
report_change_coherence,4,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover"", ""period_id"": ""period_id""}"
report_filing_delay_surprise,1,"{""delay"": ""continuous_close""}"
report_revision_magnitude,1,"{""x"": ""continuous_close""}"
report_rolling_mean,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
report_yoy_lag,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
residual_momentum_capm,3,"{""ret"": ""return_decimal"", ""benchmark_ret"": ""benchmark_return"", ""window"": 60}"
return_per_turnover,2,"{""ret"": ""return_decimal"", ""turnover"": ""turnover""}"
return_turnover_beta,2,"{""ret"": ""return_decimal"", ""turnover"": ""turnover""}"
return_volume_beta,2,"{""ret"": ""return_decimal"", ""volume"": ""raw_volume_shares""}"
return_volume_corr,2,"{""ret"": ""return_decimal"", ""volume"": ""raw_volume_shares""}"
revision_delta,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
rogers_satchell_vol,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
roll_spread_proxy,1,"{""ret"": ""return_decimal""}"
rolling_adl_flow,4,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
rolling_beta_to_market,1,"{""ret"": ""return_decimal""}"
rolling_obv,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
rolling_pvt,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
rolling_vwap,2,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
round,1,"{""x"": ""continuous_close""}"
row_sum_skipna,1,"{""..."": ""continuous_close""}"
safe_div_null,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
saturate,1,"{""x"": ""continuous_close""}"
scale,1,"{""x"": ""continuous_close""}"
sec,1,"{""x"": ""continuous_close""}"
senkou_span_causal_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
session_event_recovery_score,2,"{""x"": ""continuous_close"", ""event"": ""event_mask""}"
sigmoid,1,"{""x"": ""continuous_close""}"
sign,1,"{""x"": ""continuous_close""}"
signed_dollar_volume,3,"{""ret"": ""return_decimal"", ""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
signed_event_decay,1,"{""event"": ""event_mask""}"
signed_event_rate,1,"{""event"": ""event_mask""}"
signed_log,1,"{""x"": ""continuous_close""}"
signed_power,1,"{""x"": ""continuous_close""}"
signed_sqrt,1,"{""x"": ""continuous_close""}"
signed_volume,2,"{""ret"": ""return_decimal"", ""volume"": ""raw_volume_shares""}"
signed_volume_imbalance,2,"{""ret"": ""return_decimal"", ""volume"": ""raw_volume_shares""}"
sin,1,"{""x"": ""continuous_close""}"
sin_phase,1,"{""x"": ""continuous_close""}"
sinh,1,"{""x"": ""continuous_close""}"
size_neutralize,1,"{""x"": ""continuous_close""}"
sma_distance_pct,1,"{""close"": ""continuous_close""}"
spectral_energy_ratio,1,"{""close"": ""continuous_close""}"
spectral_trend_share,1,"{""close"": ""continuous_close""}"
sqrt,1,"{""x"": ""continuous_close""}"
sqrt_abs,1,"{""x"": ""continuous_close""}"
square,1,"{""x"": ""continuous_close""}"
sr_distance_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
sr_touch_count,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
state_adaptive_deadband,1,"{""x"": ""continuous_close""}"
state_adaptive_slew_limit,1,"{""x"": ""continuous_close""}"
state_age,1,"{""state"": ""continuous_close""}"
state_confidence_weighted_ema,1,"{""x"": ""continuous_close""}"
state_cost_aware_deadband,1,"{""x"": ""continuous_close""}"
state_cost_aware_slew,1,"{""x"": ""continuous_close""}"
state_deadband,1,"{""x"": ""continuous_close""}"
state_dwell_pct,1,"{""state"": ""continuous_close""}"
state_episode_age,1,"{""state"": ""continuous_close""}"
state_episode_age_capped,1,"{""state"": ""continuous_close""}"
state_episode_age_lower_bound,1,"{""state"": ""continuous_close""}"
state_episode_censored_flag,1,"{""state"": ""continuous_close""}"
state_episode_efficiency,1,"{""x"": ""continuous_close""}"
state_episode_excursion_balance,1,"{""x"": ""continuous_close""}"
state_episode_mae,1,"{""x"": ""continuous_close""}"
state_episode_mfe,1,"{""x"": ""continuous_close""}"
state_episode_retrace_ratio,1,"{""x"": ""continuous_close""}"
state_ewm_if,2,"{""x"": ""continuous_close"", ""condition"": ""condition_bool""}"
state_flip_age,1,"{""state"": ""continuous_close""}"
state_flip_density,1,"{""state"": ""continuous_close""}"
state_hold,1,"{""value"": ""continuous_close""}"
state_l1_turnover_prox,1,"{""x"": ""continuous_close""}"
state_l2_partial_adjustment,1,"{""x"": ""continuous_close""}"
state_latch,1,"{""set_condition"": ""continuous_close""}"
state_persistence,1,"{""state"": ""continuous_close""}"
state_quantile_hysteresis,1,"{""x"": ""continuous_close""}"
state_rank_deadband,1,"{""x"": ""continuous_close""}"
state_since_count,1,"{""x"": ""continuous_close""}"
state_since_last,1,"{""x"": ""continuous_close""}"
state_since_mean,1,"{""x"": ""continuous_close""}"
state_since_sum,1,"{""x"": ""continuous_close""}"
state_since_trend_tstat,1,"{""x"": ""continuous_close""}"
state_slew_limit,1,"{""x"": ""continuous_close""}"
state_transition_count,1,"{""state"": ""continuous_close""}"
state_transition_rate,1,"{""state"": ""continuous_close""}"
state_transition_surprise,1,"{""state"": ""continuous_close""}"
state_uncertainty_deadband,1,"{""x"": ""continuous_close""}"
subtract,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
supertrend_days_since_flip,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
supertrend_direction,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
supertrend_distance_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
supertrend_flip,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
suspension_frequency,1,"{""is_suspend"": ""continuous_close""}"
suspension_status_coverage,1,"{""is_suspend"": ""continuous_close""}"
tail_beta,3,"{""ret"": ""return_decimal"", ""benchmark_ret"": ""benchmark_return"", ""window"": 60}"
tan,1,"{""x"": ""continuous_close""}"
tanh,1,"{""x"": ""continuous_close""}"
tema_distance_pct,1,"{""close"": ""continuous_close""}"
tenkan_kijun_cross,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
tradable_state,1,"{""listed"": ""continuous_close""}"
trade_when,1,"{""condition"": ""condition_bool""}"
trading_day_diff,2,"{""date1"": ""event_date"", ""date2"": ""event_date""}"
true_range,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
true_range_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
true_range_surprise,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
true_range_zscore,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
true_turnover_rate,1,"{""volume"": ""raw_volume_shares""}"
truncate,1,"{""x"": ""continuous_close""}"
ts_abdi_ranaldo_spread,3,"{""close"": ""continuous_close"", ""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ts_abs_concentration,1,"{""x"": ""continuous_close""}"
ts_abs_entropy,1,"{""x"": ""continuous_close""}"
ts_abs_entropy_nats,1,"{""x"": ""continuous_close""}"
ts_abs_entropy_normalized,1,"{""x"": ""continuous_close""}"
ts_active_information_storage,1,"{""x"": ""continuous_close""}"
ts_activity_clock_age,1,"{""activity"": ""continuous_close""}"
ts_activity_clock_lagged_value,1,"{""x"": ""continuous_close""}"
ts_activity_clock_lagged_value_prior,1,"{""x"": ""continuous_close""}"
ts_adaptive_noise_kalman,1,"{""x"": ""continuous_close""}"
ts_alpha_beta_filter,1,"{""x"": ""continuous_close""}"
ts_ar_coeff_stability,1,"{""x"": ""continuous_close""}"
ts_ar_coefficient,1,"{""x"": ""continuous_close""}"
ts_ar_fitted_value,1,"{""x"": ""continuous_close""}"
ts_ar_forecast,1,"{""x"": ""continuous_close""}"
ts_ar_in_sample_resid,1,"{""x"": ""continuous_close""}"
ts_ar_innovation,1,"{""x"": ""continuous_close""}"
ts_ar_innovation_z,1,"{""x"": ""continuous_close""}"
ts_ar_prior_coeff,1,"{""x"": ""continuous_close""}"
ts_ar_prior_forecast,1,"{""x"": ""continuous_close""}"
ts_ar_prior_innovation,1,"{""x"": ""continuous_close""}"
ts_ar_prior_innovation_z,1,"{""x"": ""continuous_close""}"
ts_argmax,1,"{""x"": ""continuous_close""}"
ts_argmax_age,1,"{""x"": ""continuous_close""}"
ts_argmax_index_from_oldest,1,"{""x"": ""continuous_close""}"
ts_argmin,1,"{""x"": ""continuous_close""}"
ts_argmin_age,1,"{""x"": ""continuous_close""}"
ts_argmin_index_from_oldest,1,"{""x"": ""continuous_close""}"
ts_autocorr,1,"{""x"": ""continuous_close""}"
ts_autocorr_decay_half_life,1,"{""x"": ""continuous_close""}"
ts_autocorrelation_time,1,"{""x"": ""continuous_close""}"
ts_autocorrelation_time_initial_positive_sequence,1,"{""x"": ""continuous_close""}"
ts_average_volume,1,"{""volume"": ""raw_volume_shares""}"
ts_bds_statistic,1,"{""x"": ""return_decimal""}"
ts_bessel_lowpass_causal,1,"{""x"": ""continuous_close""}"
ts_best_lag_corr_excess,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
ts_best_lag_corr_raw,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
ts_beta,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
ts_beta_break_score,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
ts_beta_if,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
ts_betti_1_max_persistence,1,"{""x"": ""continuous_close""}"
ts_bicoherence_top_decile_excess,1,"{""x"": ""return_decimal""}"
ts_bicoherence_top_decile_mean,1,"{""x"": ""continuous_close""}"
ts_binned_response_curvature,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
ts_binned_response_monotonicity,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
ts_bottomk_mean,1,"{""x"": ""continuous_close""}"
ts_bottomk_std,1,"{""x"": ""continuous_close""}"
ts_bottomk_sum,1,"{""x"": ""continuous_close""}"
ts_breakdown_low,1,"{""x"": ""continuous_close""}"
ts_breakout_high,1,"{""x"": ""continuous_close""}"
ts_bures_corr_shift,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ts_butterworth_lowpass_causal,1,"{""x"": ""continuous_close""}"
ts_causal_local_linear_smoother,1,"{""x"": ""continuous_close""}"
ts_causal_savgol_endpoint,1,"{""x"": ""continuous_close""}"
ts_change_point_probability,1,"{""x"": ""continuous_close""}"
ts_channel_position,1,"{""x"": ""continuous_close""}"
ts_channel_width,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ts_channel_width_atr,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
ts_channel_width_pct,3,"{""close"": ""continuous_close"", ""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ts_channel_width_slope,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ts_chatterjee_xi,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ts_chord_excursion_area,1,"{""x"": ""continuous_close""}"
ts_conditional_mutual_information,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ts_conditional_transfer_entropy,3,"{""target"": ""return_decimal"", ""source"": ""continuous_close"", ""condition"": ""condition_bool""}"
ts_confirmed_pivot_high,1,"{""high"": ""continuous_high""}"
ts_confirmed_pivot_low,1,"{""low"": ""continuous_low""}"
ts_consolidation_slope,1,"{""close"": ""continuous_close""}"
ts_consolidation_volume_decay,1,"{""volume"": ""raw_volume_shares""}"
ts_consolidation_width,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ts_copula_central_asymmetry,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ts_corr,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ts_corr_if,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ts_count_if,1,"{""condition"": ""condition_bool""}"
ts_cov,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ts_cov_if,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ts_coverage_ratio,1,"{""x"": ""continuous_close""}"
